HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
	151074742	151076530	7
IQSEC3	66765	178460	12
	140216035	140216804	X
	140397062	140398311	X
SLC4A2	151057210	151076526	7
RPS17P17	140470866	140471274	X
ZNF503-AS2	75401519	75408982	10
SOX3	140502985	140505116	X
	140681106	140687705	X
	75408973	75409326	10
ZNF503	75397830	75401764	10
TESC-AS1	117099481	117142091	12
CYP4F62P	130429827	130441413	2
	218255319	218257366	2
	137411	149169	12
	75288333	75288682	10
POLR2J	102473118	102478907	7
FAR2P2	130416755	130431363	2
	75279726	75401246	10
GPBAR1	218259496	218263861	2
DHX37	124946825	124989131	12
SPA17P1	75382393	75382844	10
CFAP44	113286930	113441610	3
	75409157	75411842	10
HMGA1P5	75276376	75276646	10
	83369416	83369523	4
TIPARP-AS1	156671862	156674378	3
	83377363	83378076	4
	170414139	170419325	6
MYOG	203083129	203086012	1
	68473741	68474902	12
	68487687	68487863	12
MYCLP1	107272582	107273656	X
VN1R108P	25734264	25735093	20
LINC00487	6728177	6770311	2
	25697003	25752761	20
	103109759	103176260	2
RPSAP12	68552995	68553882	12
	103275904	103276138	2
DNAJA1P3	107351650	107352843	X
	65766460	65767398	15
HNRNPA1P44	65816302	65817481	15
	26876133	26878245	1
GPN2	26876132	26890283	1
PPP1R8	27830782	27851676	1
KLF2P2	130427731	130429225	2
CBL	119206276	119313926	11
	72004239	72004803	16
	151701026	151708386	1
RIIAD1	151710433	151729805	1
ERP29P1	52110344	52111049	20
CST13P	23519146	23542018	20
SMPX	21705972	21758116	X
	113361901	113515151	3
	230886500	230897091	2
CDR1	140783578	140784366	X
TMSB10P1	235882362	235882493	2
LINC00632	140709562	140793215	X
SPICE1	113442718	113515187	3
C1orf35	228100726	228105411	1
	230908852	230910102	2
ELOCP32	117245551	117246164	12
ANLN	36389821	36453791	7
GPR55	230907318	230961066	2
NOS1	117208142	117452170	12
COX20P2	230957593	230957950	2
	110370154	110373003	1
	230924567	230929919	2
LAMTOR5-AS1	110347116	110443817	1
CBS	43053191	43076943	21
CARD17	105092469	105101431	11
RAB5CP2	91476382	91477018	5
PHBP7	85898903	85899716	9
	91642643	91799234	5
CARD16	105041326	105101431	11
	113360267	113361319	3
ATP5F1AP3	72005037	72006543	16
BPNT1	220057482	220090462	1
BOC	113211003	113287459	3
	119308529	119321521	11
	136364129	136365079	6
GBX2	236165236	236168386	2
NDUFS5P1	136475862	136476150	6
CASP1P2	105063345	105071541	11
CCDC136	128790757	128822132	7
	136550661	136552554	6
	136419847	136420425	6
ELOVL3	102226299	102229589	10
PSMB1	170535120	170553307	6
ASB18	236194872	236264409	2
	58050789	58060739	17
	58076891	58083204	17
PITX3	102230186	102241512	10
PLEKHB1	73646178	73662819	11
FBXO6	11664200	11674354	1
RUSC1-AS1	155316863	155324176	1
	236167447	236294927	2
CASP1P1	105122661	105123339	11
HELQ	83407343	83455855	4
	143497412	143498126	4
RUSC1	155320894	155331114	1
RPL12P44	44937673	44938482	3
CLEC3B	45001548	45036071	3
	52451464	52455619	20
SLC16A4	110362851	110391082	1
LINC01524	52210645	52650431	20
	52487922	52500591	20
MRPS33P4	52511252	52511568	20
ZDHHC3	44915257	44976185	3
DYNLL2	58083419	58095542	17
	58095672	58101479	17
RPL3P5	236407846	236409077	2
HMGN2P34	72636497	72636765	10
OR4D1	58148449	58159555	17
CFAP44-AS1	113403991	113433992	3
MSX2P1	58157028	58157800	17
KIAA0895	36324221	36390125	7
IQCA1	236324147	236507535	2
VRK3	49976468	50025946	19
OR4D2	58166982	58171411	17
ZNF285B	44467641	44473227	19
DLG5-AS1	77927372	77929824	CHR_HSCHR10_1_CTG4
	164601002	164601452	5
LINC02143	164448422	164467402	5
	164296696	165171643	5
	58202352	58203003	17
EPX	58192726	58205174	17
BSNDP2	25845497	25845862	20
FAM182B	25763466	25868225	20
	46043661	46176488	1
	7783697	7784407	CHR_HSCHR11_1_CTG5
TSPAN1	46175073	46185962	1
	25835985	25836832	20
OR5P2	7795905	7796973	CHR_HSCHR11_1_CTG5
LINC02634	35219894	35230598	10
BSNDP1	25783553	25783919	20
	158693120	158693768	3
OR5P3	7825037	7825972	CHR_HSCHR11_1_CTG5
	158695367	158695581	3
OR5E1P	7859351	7860277	CHR_HSCHR11_1_CTG5
	186189032	186191490	4
	7861399	7916588	CHR_HSCHR11_1_CTG5
EXOSC7	44975241	45036066	3
	165129307	165153014	5
LINC02569	30508488	30511442	CHR_HSCHR6_MHC_SSTO_CTG1
ZNF180	44474428	44500524	19
	125370034	125445183	6
	8856665	8857059	X
	150611262	150611877	3
	8863861	8867601	X
SELENOT	150602875	150630445	3
	46046818	46048368	1
PIK3R3	46040140	46133036	1
SPPL3	120762510	120904358	12
CYP4V2	186191567	186213463	4
HEY2	125747664	125761269	6
DHODH	72008588	72027664	16
	17445825	17446380	16
	17227023	17228000	16
	17134504	17138736	16
THRIL	125025434	125027410	12
	17249674	17251395	16
	17192863	17194232	16
BRI3BP	124993645	125031231	12
	17453470	17456236	16
	236367560	236369102	2
IQCA1-AS1	236391074	236392388	2
XYLT1	17101769	17470881	16
ACKR3	236567787	236582354	2
	85934588	85936599	9
CBX3P5	95286318	95286838	12
HNRNPA1P47	194187379	194188309	2
KLKB1	186208979	186258471	4
PCBP2P3	91843687	91844529	5
	236733289	236754363	2
	158782547	158783124	3
	237048599	237056167	2
	8897642	8927153	X
DUTP6	166868748	166869209	1
MFSD1	158732198	158829719	3
TADA1	166856510	166876264	1
	8980425	8982505	X
	61834682	61935738	15
LINC02523	125674353	125720218	6
	186807692	186818121	3
	61861109	61894164	15
LINC02043	186810880	186825521	3
ARF1P2	120845110	120845647	12
	125578558	125749190	6
GRAMD4	46576012	46679790	22
SPATA3	230990324	231025055	2
C4orf3	119296419	119304445	4
LINC01821	194344269	194573428	2
CRYBA2	218990189	218993422	2
	57476493	57477534	11
RTN4RL2	57460528	57477534	11
POTEI	130459455	130509707	2
P3R3URF	46175486	46176478	1
	203144694	203152579	1
	237059434	237085817	2
	46104950	46105175	1
	194454581	194455142	2
ADORA1	203090654	203167405	1
	83272280	83279499	9
	46134531	46139081	1
COPS8	237085882	237100474	2
LINC01790	194730595	194761435	2
FRMD3	83242990	83538546	9
	9179385	9179606	X
	9249920	9275206	X
	195003711	195026370	2
FAM9B	9024232	9295682	X
	195451778	195515699	2
	195448532	195478925	2
SERP1	150541998	150603228	3
OR10A6	7938266	7939295	CHR_HSCHR11_1_CTG5
LINC01825	195533035	195538681	2
	21841794	21841961	X
LINC01827	195569628	195572970	2
YY2	21855987	21858727	X
OR10A3	7949167	7950227	CHR_HSCHR11_1_CTG5
	131132852	131167505	9
MBTPS2	21839617	21885423	X
NLRP10	7970057	7976059	CHR_HSCHR11_1_CTG5
	203127259	203127954	1
ILDR2	166895711	166975540	1
RPL14P1	62965325	62965969	12
	92082597	92479426	5
	63002469	63002795	12
SPATA3-AS1	230984368	230996032	2
	63004338	63006541	12
	92675956	92688254	5
OR5AC1	98064472	98065396	3
LDHAL6CP	63003553	63006902	12
	92410256	92660863	5
	117889454	117891008	12
OR5AC2	98087173	98088102	3
GNG10P1	125960208	125960406	10
	117453012	117456986	12
RSL24D1P5	63055275	63055765	12
EIF2A	150546678	150586016	3
	92654848	92679141	5
KSR2	117453012	117968983	12
FANK1	125896539	126009592	10
	63151065	63154006	12
LAMTOR5	110401249	110407942	1
AVPR1A	63142759	63150942	12
OR5AC4P	98100793	98105672	3
	186826549	186827337	3
	98099908	98148134	3
POU5F1P7	98119191	98119731	3
	140931738	140997448	X
	125056359	125056581	12
HNRNPA1P69	63271404	63272336	12
TRIM10	30197074	30206062	CHR_HSCHR6_MHC_MANN_CTG1
OR5H14	98147479	98156614	3
	63292625	63360037	12
ADIPOQ	186842704	186858463	3
OR2AL1P	105194440	105194946	11
C2orf72	231037523	231049719	2
OR5H1	98130721	98138548	3
CCNY	35247025	35572669	10
CARD18	105137721	105531697	11
CFC1B	130521197	130528604	2
PRDM7	90056566	90092072	16
FDPS	155308748	155320666	1
	105246880	105247060	11
ADIPOQ-AS1	186851886	186856123	3
MDK	46380756	46383837	11
AAMP	218264123	218270257	2
	130515997	130526691	2
RPS15AP12	220143964	220144351	1
IARS2	220094132	220148041	1
CFAP65	219002846	219041527	2
SMG1P7	70219574	70246610	16
SPANXB1	141002594	141003706	X
	141138478	141139174	X
	29775747	29776701	17
	23568673	23569696	16
RPL21P123	29716279	29716685	17
SUB1P4	23537061	23537556	16
UBFD1	23557721	23574389	16
FANK1-AS1	125972188	125973126	10
	103494241	103495842	2
KRT18P49	107428630	107429461	X
GIT1	29573469	29594054	17
	103527620	103529261	2
	48564795	48568342	18
	48826051	48834770	18
	9867027	9869808	12
CLEC2B	9852984	9870136	12
CTIF	48539031	48863217	18
CSRNP3	165469647	165689407	2
FRMPD3-AS1	107512983	107545821	X
FRMPD3	107522450	107605251	X
AHCYP5	195582794	195584031	2
	231052040	231052637	2
SLC39A10	195575977	195737702	2
	103623630	103623830	2
SCUBE3	35213956	35253079	6
EARS2	23522014	23557731	16
MRPL55	228106679	228109312	1
	103865746	103869688	2
LINC01965	103874310	104077778	2
LINC02381	54126098	54147485	12
	103856659	103880209	2
	54082118	54102699	12
CCDC184	48183584	48185926	12
	35220370	35224630	6
	125138245	125141711	12
SMUG1	54121277	54189008	12
AACS	125065434	125143333	12
	104125268	104147229	2
RARRES1	158696892	158732489	3
	48189349	48191207	12
OR10AD1	48202083	48203387	12
	48198357	48230275	12
AHCYP3	104395002	104396280	2
	158732263	158784070	3
PRPS1	107628424	107651026	X
	219002215	219015721	2
	158763431	158763753	3
CLIC1P1	120914400	120915123	12
	158801257	158801935	3
TGFB1I1	31471585	31477960	16
RPL12P33	120916745	120917236	12
NBPF20	145289900	145405778	1
	63682523	63724935	12
	48661840	48662635	18
	48755693	48756318	18
	48673575	48688419	18
	50043196	50051062	19
RXYLT1	63779803	63809558	12
	72643011	72644650	10
FCF1	74713144	74738620	14
HAUS1	46104378	46128333	18
	119838736	119840385	8
DSCC1	119833976	119855894	8
ZNF473	50025714	50053414	19
CNOT6L	77713387	77819615	4
MSH4	75796882	75913242	1
	155106062	155106400	7
	155106400	155106651	7
	155196563	155198455	7
DOK7	3463306	3501473	4
	155204147	155205189	7
	155222903	155223851	7
	155267299	155268052	7
	155295918	155297541	7
LINC01831	104412227	104414008	2
	104411201	104415612	2
INSIG1	155297776	155310235	7
	48231098	48284210	12
	48327942	48328472	12
	50058882	50060232	19
DPY19L2	63558913	63668939	12
ABCA17P	2339150	2426699	16
	35314552	35336401	10
	50050589	50066793	19
MAEL	166975582	167022214	1
H1FNT	48328980	48330279	12
NRIR	6828514	6840464	2
CST9LP1	23547764	23550652	20
BRPF3	36196744	36232790	6
LINC01103	104488458	104510509	2
LINC01102	104433267	104520832	2
CST9L	23564732	23568484	20
OR5H15	98166696	98169774	3
KRTAP5-2	1602887	1604004	CHR_HSCHR11_1_CTG6
DUSP8	1559754	1577630	CHR_HSCHR11_1_CTG6
ABCA3	2275881	2340746	16
	48333755	48333901	12
	104580821	104581890	2
	104583152	104585354	2
OR5H5P	98197211	98198138	3
	104659337	104664837	2
BLACE	155356985	155367934	7
ATP5F1A	46080248	46104334	18
	155382076	155396356	7
MYBPH	203167811	203175826	1
KRTAP5-1	1590052	1590993	CHR_HSCHR11_1_CTG6
	155399922	155401782	7
	52671917	52690929	20
KRTAP5-AS1	1577063	1604894	CHR_HSCHR11_1_CTG6
	155421206	155457099	7
	54076838	54081903	12
CDC42BPB	102932380	103057549	14
EN2	155458129	155464831	7
	52840936	52843775	20
	54058254	54122235	12
	52858338	52862855	20
OR5H6	98263252	98265356	3
	54145069	54147225	12
RPL36P1	52890162	52890386	20
	54163139	54168595	12
	98233651	98457898	3
FAM242C	54085132	54125992	12
OR5H4P	98222044	98222966	3
UBFD1P1	98434034	98434847	3
	48360920	48361377	12
OR5H2	98282888	98283832	3
OR5BK1P	48355792	48356614	12
	48350945	48442411	12
OR5H7P	98238352	98239281	3
	54162065	54164452	12
OR5BJ1P	48394510	48395392	12
OR5K4	98353854	98354819	3
	63760358	63760612	12
	141173235	141173588	X
RXYLT1-AS1	63804739	63822156	12
OR8S21P	48417150	48417337	12
OR5K3	98390666	98391631	3
OR5BT1P	48385417	48386265	12
PPIAP10	53421199	53421656	20
	63623788	63795718	12
LDOC1	141175745	141177125	X
OR5H3P	98207423	98208341	3
	53397661	53412910	20
PABPC1P4	63822021	63823895	12
	53168643	53179550	20
	63651627	63651930	12
OR5H8	98306752	98312843	3
ZNF641	48337180	48351414	12
TSHZ2	52972358	53495330	20
TUBB8P7	90093154	90096354	16
CHI3L1	203178931	203186704	1
SPANXC	141241463	141242496	X
NDUFV1	67605653	67612554	11
MCU	72692131	72887694	10
	130530275	130537182	2
	53196229	53208705	20
RBM33	155644451	155781485	7
RBMX2P2	141261119	141264213	X
	53255979	53487274	20
	119867419	119874488	8
	53453058	53504314	20
DEPTOR	119873717	120050918	8
	21939461	21940160	X
ABHD15-AS1	29560547	29707090	17
COMMD5	144841042	144853736	8
	90105095	90106316	16
LINC02193	90173217	90222678	16
NSRP1	30115521	30186475	17
	90174062	90175865	16
FAM157C	90102271	90178344	16
OR8T1P	48442030	48442947	12
RPL23AP27	104678223	104678673	2
	90110574	90168225	16
	104703758	104705509	2
	125150058	125151394	12
TNS3	47275154	47582558	7
HNF1A	120978543	121002512	12
ZNF7	144827464	144847509	8
	125160525	125164918	12
RPL13P6	103041469	103042094	14
AMN	102922656	102933596	14
GALNT3	165747591	165794682	2
	125300936	125301917	12
TMEM132B	125186836	125662377	12
	155474256	155644406	7
CES4A	66988589	67009758	16
	155611231	155645205	7
	72766560	72767052	10
	72730557	72731175	10
	72756398	72757016	10
	36146698	36197205	6
	155510283	155518623	7
	102933574	102937177	14
	125808668	125809808	12
CNPY1	155474206	155555450	7
	125858862	125861119	12
	125858132	125880724	12
	125900421	125901483	12
LINC00939	125958688	125983374	12
ANXA6	151100706	151157785	5
	2332313	2332732	16
	31470204	31472108	16
NAA35	85941146	86022298	9
CFTRP1	25919499	25919681	20
	80246409	80312456	7
LINC01733	25955812	25969288	20
	26008791	26010531	20
KLRF2	9881489	9895833	12
	14665655	14757963	12
PLBD1-AS1	14567750	14619755	12
	118037869	118038081	12
GUCY2C	14612632	14696599	12
WSB2	118032694	118062430	12
TBP	170554302	170572870	6
IDNK	83623049	83644130	9
UBR3	169827458	170084131	2
	167162423	167162837	1
	167052551	167058542	1
RAB3GAP2	220148293	220272453	1
DUSP27	167094045	167129165	1
SETP10	179183734	179184547	1
	179220938	179222125	1
	29972514	29973027	17
	165794857	165846091	2
MGME1	17969018	17991122	20
	165833048	165839098	2
	179137764	179137934	1
	29761103	29787836	17
	165794851	165810010	2
	30090366	30117497	17
GPA33	167052836	167166479	1
	30059339	30065677	17
	29591703	29592241	17
RPL9P30	29855759	29856332	17
CKS1B	154974653	154979251	1
SSH2	29625938	29930276	17
	14530151	14533229	12
OVOL2	17956979	18059188	20
PLBD1	14503661	14567883	12
	67605521	67606642	11
NIFKP9	127170011	127170231	2
C11orf72	67602880	67606706	11
	150422645	150423642	4
EXOSC6	70246778	70251940	16
PHF21B	44881162	45010005	22
	50326131	50327007	1
CST9LP2	23583645	23586510	20
	117882859	117883675	7
	36957913	36958139	X
	201762737	201763573	2
	117998858	118004045	7
	36962196	36963425	X
SNX5	17941597	17968980	20
ALS2	201700267	201780956	2
HMGB1P45	50398825	50399773	1
	95311312	95442482	12
CYP27C1	127184120	127220078	2
	46973989	46978983	16
	47013957	47014365	16
	47004513	47035385	16
	95387890	95388558	12
RSAD2	6865806	6898239	2
LINC01363	167175917	167195792	1
ASB17	75918873	75932431	1
RFC5	118013588	118033130	12
	167219831	167220512	1
CMPK2	6840570	6866635	2
	95467397	95467861	12
	27643199	27644663	16
MORF4L1P1	220253570	220254536	1
NETO2	47077703	47143997	16
	27678940	27718806	16
	220207618	220208282	1
LSM8	118184144	118204035	7
	220220291	220220593	1
TTC21B	165857475	165953816	2
AURKAP1	220266706	220267917	1
	170077224	170078294	2
	27687182	27687522	16
KIAA0556	27550133	27780369	16
NXF1	62792123	62806302	11
	26018832	26020684	20
	12141806	12143322	19
SHH	155799980	155812463	7
	67006672	67009481	16
RSL24D1P8	12096424	12096915	19
	75326772	75327999	X
PMFBP1	72112157	72176878	16
	127247258	127250082	2
	11987641	12078106	19
ZNF878	12043805	12052939	19
ZNF625-ZNF20	12132117	12156731	19
ZNF788P	12092263	12137235	19
E2F3P2	195994259	195995680	2
ANKRD7	118214669	118496171	7
	155962632	155966343	7
	156263547	156263802	7
	178644717	178645179	2
DNAH7	195737703	196068837	2
CD36	80369575	80679277	7
RPS6P2	179001756	179002760	2
	12075327	12113325	19
	178541125	178541799	2
ZDHHC15	75368427	75523502	X
TTN-AS1	178521183	178779963	2
ZNF433	12014732	12035741	19
NR0B2	26911489	26913975	1
EFCAB5	29929200	30108452	17
NUDC	26900238	26946871	1
RPL21P134	75384346	75384828	X
HTR2B	231108230	231125042	2
AARS	70252295	70289543	16
	75932479	76019356	1
	118024817	118025518	12
SMARCA5-AS1	143513472	143514635	4
TTC21B-AS1	165933857	165949891	2
OR6L1P	133575122	133576031	10
KIR3DL3	54724453	54736091	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
PSMD1	231056864	231172827	2
	76041691	76066228	1
SMARCA5	143513702	143557486	4
RPL30P6	95644952	95645293	4
CIAO1	96266132	96273349	2
FRG2B	133623895	133626795	10
ZNF433-AS1	11987617	12046275	19
ST6GALNAC3	76074746	76634603	1
PTMAP3	18011955	18012284	20
GPATCH3	26890488	26900467	1
	36985523	36986093	X
	76353583	76354246	1
ZNF625	12142090	12156729	19
IAH1	9473658	9496543	2
	44901547	44902471	22
	63887379	63888598	12
SRGAP1	63844700	64162217	12
	45000565	45003619	22
LBX2	74497517	74503316	2
PCNPP4	75537547	75538702	X
	12017888	12052967	19
CST9	23602410	23605876	20
ZNF20	12092843	12140355	19
SORCS3	104641290	105265242	10
BRAFP1	75582676	75585506	X
	167975924	167979776	6
LBX2-AS1	74502595	74504678	2
TINF2	24239643	24242674	14
TTC3P1	75740831	75746911	X
	74501717	74502365	2
DNM1P46	99790156	99806927	15
LINC02294	26775495	26822107	14
RARRES2P2	133637408	133637892	10
AGGF1P2	133640789	133642894	10
FRMD7	132076993	132128020	X
LINC02293	26809417	26836458	14
MAGEE2	75782988	75785236	X
HP	72054592	72061055	16
CLUHP5	133657235	133660635	10
ETV1	13891229	13991425	7
LINC02588	26598412	26806467	14
	196063312	196063963	2
SAR1AP4	75884546	75885136	X
	99791127	99792847	15
	75888700	75888888	X
ZNF844	12064731	12081565	19
	143555082	143555583	4
COX5BP8	179255733	179256081	1
	75903105	75904858	X
	179271116	179271266	1
CHRM4	46385098	46386608	11
	29863402	29866092	17
	156654185	156657693	7
	76029895	76030330	X
ANKRD13B	29589769	29614761	17
RNF32	156640281	156677130	7
KIF25	167996241	168045089	6
SORCS3-AS1	104664608	104666200	10
	178616581	178617123	2
	92823935	92844992	5
	178577103	178577622	2
FCF1P6	50405430	50406024	1
LDHBP3	92840807	92841628	5
METAP2	95473520	95515839	12
CCDC141	178829757	179050086	2
GTF3AP6	118880103	118881288	7
CCT7P2	92889387	92890840	5
PBDC1	76172936	76178204	X
FAM47C	37008397	37011666	X
LINC02058	92907180	92939591	5
SOAT1	179293714	179358680	1
	132130091	132131352	X
	93019663	93068669	5
	118950386	118951259	7
POLD2P1	93267429	93268425	5
GBF1	102245532	102382899	10
	45396932	45397477	17
ARHGAP27	45393902	45434421	17
RPL36AP41	63871739	63872044	12
	76222637	76223097	X
	64032412	64032665	12
	63878787	63879474	12
	76250183	76251796	X
CERK	46684410	46738252	22
	64038562	64097618	12
	64108763	64120489	12
	64146388	64147857	12
	178548884	178550681	2
	178554561	178558966	2
	178578790	178580906	2
VWF	5948874	6124770	12
CATIP	218356857	218368099	2
	178723457	178727046	2
RASA4B	102482445	102517781	7
KIF25-AS1	167992822	167997077	6
LPO	58218548	58268518	17
METTL15P1	156713884	156714928	3
	30122429	30126118	17
	29639627	29640825	17
FLAD1	154983338	154993111	1
	30068632	30069631	17
	29569580	29570519	17
LINC00886	156747346	156817062	3
ABHD15	29560547	29567037	17
ADAM17	9488486	9556732	2
	218354075	218354572	2
CATIP-AS1	218366665	218367835	2
PA2G4P4	156809551	156810732	3
CATIP-AS2	218326889	218357966	2
	30144062	30144790	17
CORO6	29614756	29622907	17
CST3	23626706	23638473	20
TMBIM1	218274197	218292586	2
TRMT13	100133150	100150498	1
C12orf43	121000486	121016502	12
TTN	178525989	178830802	2
CWC25	38601221	38626268	CHR_HSCHR17_7_CTG4
MBNL3	132369317	132489968	X
TRIM15	30208315	30217805	CHR_HSCHR6_MHC_MANN_CTG1
	47561307	47562480	16
ITFG1-AS1	47144323	47162747	16
	23631826	23632316	20
PHKB	47461123	47701523	16
LRRC39	100148449	100178273	1
	26836728	27160420	14
MIR4307HG	26873133	26914743	14
	102579104	102679295	7
CDK15	201790461	201895550	2
SPDYE2B	102650325	102661398	7
MRPL1	77862830	77952785	4
UPK3BL1	102637025	102642791	7
LILRP2	54707916	54713453	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
	156633355	156633787	7
LDHBP2	76334841	76335845	X
LINC01006	156388922	156640654	7
POLR2J2	102665368	102671629	7
MKS1	58205437	58219605	17
DMRTA2	50417550	50423443	1
MAGEE1	76427724	76431353	X
TRAPPC13P1	76655498	76656559	X
RASA4	102573807	102616757	7
FTH1P18	37043023	37043571	X
LINC00244	156540491	156541103	7
	54703952	54704235	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
NR2F1-AS1	93409359	93585648	5
LILRP1	54700593	54700905	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
	37077851	37078401	X
LMBR1	156668946	156893230	7
OR5K1	98463201	98472924	3
	77864508	77864804	4
	30059054	30059147	17
	29644796	29645847	17
FPGS	127794597	127814327	9
HNF1A-AS1	120941728	120980965	12
TP53I13	29566052	29573157	17
AK9	109492856	109691217	6
	54029552	54030682	2
	125983702	126043485	12
	54082554	54085066	2
NR2F1	93583222	93594611	5
ACYP2	53970838	54305300	2
	9505445	9512412	2
	9555899	9556775	2
KIR3DL1	54861074	54875379	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
BSNDP3	26071988	26072351	20
LINC02359	126095992	126177632	12
FAM182A	26054655	26086917	20
	126141952	126142377	12
	126130166	126130865	12
	126106459	126107047	12
	205625483	205626153	1
	96307263	96321731	2
	126191151	126434227	12
MFSD4A	205568885	205602918	1
KRTAP5-3	1613275	1614173	CHR_HSCHR11_1_CTG6
FASTK	151076593	151080866	7
SNRNP200	96274338	96321271	2
	126400792	126405528	12
KRTAP5-4	1626668	1627848	CHR_HSCHR11_1_CTG6
USP44	95516560	95551476	12
KRTAP5-5	1635485	1636417	CHR_HSCHR11_1_CTG6
	46761894	46762563	22
PSME4	53864069	53970993	2
THEMIS2	27872543	27886685	1
	63091367	63110589	15
	126458462	126458792	12
	35604485	35608153	10
LINC02347	126442481	126472790	12
GJD4	35605410	35608935	10
	30117079	30117172	17
	29621617	29622254	17
	50541108	50543011	22
	50542305	50542906	22
KLHDC7B	50546203	50551023	22
KIR2DL4	54848094	54859121	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
CEACAM20	44501677	44529788	19
SYCE3	50551112	50562919	22
POLR2J3	102537918	102572653	7
DHFRP2	31409367	31409913	CHR_HSCHR6_MHC_MANN_CTG1
	31420428	31421029	CHR_HSCHR6_MHC_MANN_CTG1
RAP2C-AS1	132217147	132432862	X
ZDHHC20P2	31423425	31423853	CHR_HSCHR6_MHC_MANN_CTG1
HLA-S	31425088	31425302	CHR_HSCHR6_MHC_MANN_CTG1
ALOX15P2	92913156	92921560	9
RAP2C	132203024	132219480	X
ELK4	205597556	205631962	1
XRCC6P3	220313945	220315565	1
	220316667	220317599	1
	220359731	220360183	1
	109487906	109506800	6
	220401122	220404033	1
MDFI	41636882	41654246	6
	120052180	120056201	8
	126510910	126511711	12
BRSK2	1389899	1462689	11
	220448516	220448853	1
NDUFA5P6	126524248	126524626	12
ITFG1	47154387	47464149	16
	119178177	119179149	7
	196151263	196154881	2
	220455154	220455312	1
LINC02476	119704556	119907375	7
KIR2DL1	54814388	54828892	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
STK17B	196133583	196176503	2
	120141016	120142996	7
	120168345	120186064	7
	126616344	126616554	12
PRMT1	49675786	49689029	19
	126610034	126690318	12
IHH	219054424	219060921	2
KCND2	120273175	120750337	7
	126675895	126676243	12
KIR2DL2	54754673	54769220	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
	126677262	126677806	12
	219069354	219069809	2
	126628172	126690322	12
KIR2DL5B	54771198	54780682	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
PRELID3BP1	220467954	220468808	1
	120746738	120752514	7
	220485104	220487043	1
	126690479	126695832	12
KIR2DS5	54782617	54797414	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
HPR	72063148	72077246	16
	54799595	54812147	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
NCOR1P1	26103416	26114028	20
PNKD	218270392	218346793	2
UBE2V1P11	201824548	201824832	2
KIR2DS4	54877320	54892899	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
TSPAN12	120787320	120858402	7
LINC00943	126726270	126746252	12
	102483344	102543764	7
LINC00944	126729787	126772411	12
	102637049	102671641	7
CFAP36	55519604	55545879	2
DHX38	72093613	72112912	16
GNAT3	80458671	80512020	7
POLR2J3	102562133	102572583	7
SNRPBP1	80377554	80377835	7
	80312574	80391474	7
MRPS18C	83455932	83469735	4
MICA	31442784	31459233	CHR_HSCHR6_MHC_MANN_CTG1
ASH1L-IT1	155396010	155396978	1
ASH1L	155335268	155562807	1
	102582523	102642869	7
NHEJ1	219075317	219160865	2
HDAC1P2	220625740	220628056	1
SPDYE2	102551232	102562308	7
MARK1	220528183	220664461	1
	80662331	80662585	7
	47262741	47263500	16
EIF4BP5	47565090	47566884	16
C12orf66	64186316	64222296	12
	102541501	102592444	7
	47196311	47202429	16
NDUFA5P11	47598654	47598996	16
	102538417	102543849	7
	47299447	47317814	16
CLEC2A	9898673	9932381	12
	47529190	47529916	16
	104706612	104707506	2
POU2F1	167220876	167427345	1
RPL23AP72	47150132	47150566	16
HNRNPA1P54	179447602	179457315	1
LINC01114	104746638	104757719	2
	47218026	47218768	16
AXDND1	179365720	179554735	1
	76636877	76637339	1
DUX4L28	133664429	133665106	10
SLC25A14P1	83477524	83478424	4
CHIT1	203212827	203273641	1
HMGB3P11	104771282	104771885	2
	237122910	237124097	2
TPI1P1	76699789	76700538	1
LINC02062	98929171	98995013	5
ABRAXAS1	83459517	83523348	4
	237257091	237257676	2
ERCC3	127257290	127294176	2
	98954394	98954972	5
DUX4L25	133667151	133668419	10
SPR	72887382	72892158	2
FAM96AP2	228114997	228115473	1
LINC02567	76758124	76779267	1
	228121523	228123771	1
DUX4L24	133670450	133671718	10
DUX4L23	133673749	133675017	10
	228134785	228134992	1
TSPYL6	54253178	54256229	2
LINC02470	9936579	9943495	12
DUX4L22	133677059	133678327	10
	54079974	54080280	2
RPL38P4	98525061	98525274	3
HMGB1P31	54051334	54051760	2
	98522570	98525334	3
CPOX	98579446	98593723	3
POU5F1P4	155433178	155434262	1
SLC23A3	219161465	219170095	2
ASH1L-AS1	155562042	155563944	1
EMX1	72916260	72936071	2
	53608354	53634590	20
	76657798	77014532	X
ZNF217	53567065	53609907	20
